Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	1:41:54 PM
	
Time	Amplitude
0.000000E+0	-9.936038E-5
5.000000E-11	-2.569665E-5
1.000000E-10	1.541799E-5
1.500000E-10	6.167196E-5
2.000000E-10	1.593192E-4
2.500000E-10	2.740976E-4
3.000000E-10	3.871629E-4
3.500000E-10	4.882364E-4
4.000000E-10	5.379165E-4
4.500000E-10	5.070806E-4
5.000000E-10	4.419824E-4
5.500000E-10	4.060071E-4
6.000000E-10	4.008677E-4
6.500000E-10	3.957284E-4
7.000000E-10	3.974415E-4
7.500000E-10	4.197120E-4
8.000000E-10	4.556873E-4
8.500000E-10	5.105068E-4
9.000000E-10	5.653263E-4
9.500000E-10	5.927361E-4
1.000000E-9	6.064409E-4
1.050000E-9	6.458425E-4
1.100000E-9	7.006620E-4
1.150000E-9	6.801047E-4
1.200000E-9	5.893098E-4
1.250000E-9	4.899495E-4
1.300000E-9	3.477613E-4
1.350000E-9	1.216308E-4
1.400000E-9	-1.267701E-4
1.450000E-9	-3.357696E-4
1.500000E-9	-5.379165E-4
1.550000E-9	-7.520553E-4
1.600000E-9	-8.993828E-4
1.650000E-9	-9.679072E-4
1.700000E-9	-1.010735E-3
1.750000E-9	-1.024440E-3
1.800000E-9	-9.559154E-4
1.850000E-9	-8.274321E-4
1.900000E-9	-6.629736E-4
1.950000E-9	-4.351299E-4
2.000000E-9	-1.370488E-4
2.050000E-9	1.867290E-4
2.100000E-9	5.070806E-4
2.150000E-9	8.291452E-4
2.200000E-9	1.113522E-3
2.250000E-9	1.329373E-3
2.300000E-9	1.510963E-3
2.350000E-9	1.670282E-3
2.400000E-9	1.757651E-3
2.450000E-9	1.762790E-3
2.500000E-9	1.754225E-3
2.550000E-9	1.714823E-3
2.600000E-9	1.605184E-3
2.650000E-9	1.437299E-3
2.700000E-9	1.267701E-3
2.750000E-9	1.096390E-3
2.800000E-9	8.685468E-4
2.850000E-9	5.619001E-4
2.900000E-9	2.449747E-4
2.950000E-9	-4.625397E-5
3.000000E-9	-3.134991E-4
3.050000E-9	-5.653263E-4
3.100000E-9	-7.571946E-4
3.150000E-9	-8.565550E-4
3.200000E-9	-8.753992E-4
3.250000E-9	-8.308584E-4
3.300000E-9	-7.469160E-4
3.350000E-9	-6.372769E-4
3.400000E-9	-5.190723E-4
3.450000E-9	-3.563269E-4
3.500000E-9	-1.267701E-4
3.550000E-9	1.044997E-4
3.600000E-9	2.758107E-4
3.650000E-9	4.077202E-4
3.700000E-9	4.950888E-4
3.750000E-9	5.053675E-4
3.800000E-9	4.385562E-4
3.850000E-9	3.340565E-4
3.900000E-9	1.764503E-4
3.950000E-9	-6.167196E-5
4.000000E-9	-3.409089E-4
4.050000E-9	-5.995885E-4
4.100000E-9	-7.811782E-4
4.150000E-9	-8.976696E-4
4.200000E-9	-9.576285E-4
4.250000E-9	-9.627678E-4
4.300000E-9	-9.062352E-4
4.350000E-9	-7.931699E-4
4.400000E-9	-6.269983E-4
4.450000E-9	-4.368431E-4
4.500000E-9	-2.552534E-4
4.550000E-9	-8.908172E-5
4.600000E-9	6.338507E-5
4.650000E-9	1.918683E-4
4.700000E-9	2.809500E-4
4.750000E-9	3.374827E-4
4.800000E-9	3.511876E-4
4.850000E-9	2.963680E-4
4.900000E-9	1.627455E-4
4.950000E-9	-2.055732E-5
5.000000E-9	-2.107125E-4
5.050000E-9	-3.460482E-4
5.100000E-9	-4.214251E-4
5.150000E-9	-4.642528E-4
5.200000E-9	-4.762446E-4
5.250000E-9	-4.522610E-4
5.300000E-9	-4.351299E-4
5.350000E-9	-4.436955E-4
5.400000E-9	-4.454086E-4
5.450000E-9	-4.608266E-4
5.500000E-9	-5.156461E-4
5.550000E-9	-5.533345E-4
5.600000E-9	-5.310641E-4
5.650000E-9	-4.813839E-4
5.700000E-9	-4.556873E-4
5.750000E-9	-4.591135E-4
5.800000E-9	-4.899495E-4
