Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	6:11:54 PM
	
Time	Amplitude
0.000000E+0	-1.094677E-3
5.000000E-11	-1.293398E-3
1.000000E-10	-1.449291E-3
1.500000E-10	-1.545225E-3
2.000000E-10	-1.574348E-3
2.500000E-10	-1.534947E-3
3.000000E-10	-1.423594E-3
3.500000E-10	-1.253997E-3
4.000000E-10	-1.075833E-3
4.500000E-10	-8.942434E-4
5.000000E-10	-6.920964E-4
5.500000E-10	-5.105068E-4
6.000000E-10	-4.197120E-4
6.500000E-10	-4.197120E-4
7.000000E-10	-5.002281E-4
7.500000E-10	-6.818178E-4
8.000000E-10	-9.250794E-4
8.500000E-10	-1.140931E-3
9.000000E-10	-1.322521E-3
9.500000E-10	-1.488693E-3
1.000000E-9	-1.622315E-3
1.050000E-9	-1.719962E-3
1.100000E-9	-1.802192E-3
1.150000E-9	-1.829601E-3
1.200000E-9	-1.767930E-3
1.250000E-9	-1.644586E-3
1.300000E-9	-1.488693E-3
1.350000E-9	-1.305390E-3
1.400000E-9	-1.103243E-3
1.450000E-9	-9.199401E-4
1.500000E-9	-7.726126E-4
1.550000E-9	-6.150065E-4
1.600000E-9	-4.351299E-4
1.650000E-9	-2.415485E-4
1.700000E-9	-6.681129E-5
1.750000E-9	8.222928E-5
1.800000E-9	2.244174E-4
1.850000E-9	3.580400E-4
1.900000E-9	4.368431E-4
1.950000E-9	4.659659E-4
2.000000E-9	4.950888E-4
2.050000E-9	5.036543E-4
2.100000E-9	4.231382E-4
2.150000E-9	2.792369E-4
2.200000E-9	1.199177E-4
2.250000E-9	-1.027866E-4
2.300000E-9	-3.957284E-4
2.350000E-9	-6.732522E-4
2.400000E-9	-9.336450E-4
2.450000E-9	-1.164915E-3
2.500000E-9	-1.310529E-3
2.550000E-9	-1.334513E-3
2.600000E-9	-1.322521E-3
2.650000E-9	-1.312242E-3
2.700000E-9	-1.257423E-3
2.750000E-9	-1.159775E-3
2.800000E-9	-1.058702E-3
2.850000E-9	-9.661940E-4
2.900000E-9	-8.822517E-4
2.950000E-9	-7.983093E-4
3.000000E-9	-7.143669E-4
3.050000E-9	-6.355638E-4
3.100000E-9	-5.704656E-4
3.150000E-9	-5.259248E-4
3.200000E-9	-4.676790E-4
3.250000E-9	-3.803104E-4
3.300000E-9	-2.638189E-4
3.350000E-9	-1.473275E-4
3.400000E-9	-4.282775E-5
3.450000E-9	8.394239E-5
3.500000E-9	2.244174E-4
3.550000E-9	3.631793E-4
3.600000E-9	4.625397E-4
3.650000E-9	5.156461E-4
3.700000E-9	5.738919E-4
3.750000E-9	6.355638E-4
3.800000E-9	6.304245E-4
3.850000E-9	5.327772E-4
3.900000E-9	4.162857E-4
3.950000E-9	3.631793E-4
4.000000E-9	3.272040E-4
4.050000E-9	2.878025E-4
4.100000E-9	2.895156E-4
4.150000E-9	3.134991E-4
4.200000E-9	3.015074E-4
4.250000E-9	2.809500E-4
4.300000E-9	2.723845E-4
4.350000E-9	2.449747E-4
4.400000E-9	1.576061E-4
4.450000E-9	3.254909E-5
4.500000E-9	-1.096390E-4
4.550000E-9	-2.415485E-4
4.600000E-9	-3.152122E-4
4.650000E-9	-3.152122E-4
4.700000E-9	-2.569665E-4
4.750000E-9	-1.507537E-4
4.800000E-9	1.199177E-5
4.850000E-9	2.124256E-4
4.900000E-9	4.368431E-4
4.950000E-9	6.424163E-4
5.000000E-9	7.571946E-4
5.050000E-9	7.777519E-4
5.100000E-9	7.589077E-4
5.150000E-9	6.955227E-4
5.200000E-9	5.601870E-4
5.250000E-9	3.631793E-4
5.300000E-9	1.576061E-4
5.350000E-9	-4.454086E-5
5.400000E-9	-2.723845E-4
5.450000E-9	-4.728184E-4
5.500000E-9	-5.841705E-4
5.550000E-9	-6.081541E-4
5.600000E-9	-5.773181E-4
5.650000E-9	-4.711053E-4
5.700000E-9	-3.066467E-4
5.750000E-9	-1.319095E-4
