Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	1:11:09 PM
	
Time	Amplitude
0.000000E+0	4.042940E-4
5.000000E-11	3.289171E-4
1.000000E-10	2.501141E-4
1.500000E-10	1.627455E-4
2.000000E-10	8.565550E-5
2.500000E-10	6.852440E-6
3.000000E-10	-7.537684E-5
3.500000E-10	-1.336226E-4
4.000000E-10	-1.627455E-4
4.500000E-10	-1.901552E-4
5.000000E-10	-2.192781E-4
5.500000E-10	-2.175650E-4
6.000000E-10	-1.661717E-4
6.500000E-10	-7.880306E-5
7.000000E-10	2.569665E-5
7.500000E-10	1.301964E-4
8.000000E-10	2.535403E-4
8.500000E-10	3.888760E-4
9.000000E-10	5.036543E-4
9.500000E-10	5.875967E-4
1.000000E-9	6.544080E-4
1.050000E-9	6.886702E-4
1.100000E-9	6.681129E-4
1.150000E-9	6.167196E-4
1.200000E-9	5.567608E-4
1.250000E-9	4.950888E-4
1.300000E-9	4.419824E-4
1.350000E-9	3.888760E-4
1.400000E-9	3.100729E-4
1.450000E-9	2.261305E-4
1.500000E-9	1.867290E-4
1.550000E-9	1.781634E-4
1.600000E-9	1.678848E-4
1.650000E-9	1.593192E-4
1.700000E-9	1.713110E-4
1.750000E-9	1.815897E-4
1.800000E-9	1.815897E-4
1.850000E-9	1.935814E-4
1.900000E-9	1.952945E-4
1.950000E-9	1.730241E-4
2.000000E-9	1.456144E-4
2.050000E-9	1.079259E-4
2.100000E-9	3.768842E-5
2.150000E-9	-2.227043E-5
2.200000E-9	-2.740976E-5
2.250000E-9	-2.398354E-5
2.300000E-9	-4.625397E-5
2.350000E-9	-5.653263E-5
2.400000E-9	-3.254909E-5
2.450000E-9	8.565550E-6
2.500000E-9	5.481952E-5
2.550000E-9	9.422105E-5
2.600000E-9	1.027866E-4
2.650000E-9	9.079483E-5
2.700000E-9	6.338507E-5
2.750000E-9	6.852440E-6
2.800000E-9	-8.908172E-5
2.850000E-9	-2.072863E-4
2.900000E-9	-3.134991E-4
2.950000E-9	-3.957284E-4
3.000000E-9	-4.539742E-4
3.050000E-9	-4.711053E-4
3.100000E-9	-4.128595E-4
3.150000E-9	-2.706714E-4
3.200000E-9	-8.736861E-5
3.250000E-9	8.908172E-5
3.300000E-9	2.415485E-4
3.350000E-9	3.871629E-4
3.400000E-9	5.379165E-4
3.450000E-9	6.663998E-4
3.500000E-9	7.400635E-4
3.550000E-9	7.743257E-4
3.600000E-9	8.000224E-4
3.650000E-9	8.017355E-4
3.700000E-9	7.554815E-4
3.750000E-9	6.544080E-4
3.800000E-9	5.190723E-4
3.850000E-9	3.888760E-4
3.900000E-9	2.912287E-4
3.950000E-9	2.192781E-4
4.000000E-9	1.833028E-4
4.050000E-9	1.678848E-4
4.100000E-9	1.421881E-4
4.150000E-9	9.250794E-5
4.200000E-9	3.940153E-5
4.250000E-9	-2.055732E-5
4.300000E-9	-9.936038E-5
4.350000E-9	-1.661717E-4
4.400000E-9	-2.107125E-4
4.450000E-9	-2.466878E-4
4.500000E-9	-2.843763E-4
4.550000E-9	-3.289171E-4
4.600000E-9	-3.734580E-4
4.650000E-9	-3.957284E-4
4.700000E-9	-3.734580E-4
4.750000E-9	-3.152122E-4
4.800000E-9	-2.346961E-4
4.850000E-9	-1.473275E-4
4.900000E-9	-8.565550E-5
4.950000E-9	-1.713110E-5
5.000000E-9	7.880306E-5
5.050000E-9	1.524668E-4
5.100000E-9	2.004339E-4
5.150000E-9	2.672452E-4
5.200000E-9	3.340565E-4
5.250000E-9	3.648924E-4
5.300000E-9	4.077202E-4
5.350000E-9	4.933757E-4
5.400000E-9	5.636132E-4
5.450000E-9	6.132934E-4
5.500000E-9	6.766785E-4
5.550000E-9	7.452029E-4
5.600000E-9	7.743257E-4
5.650000E-9	7.640471E-4
5.700000E-9	7.366373E-4
5.750000E-9	6.920964E-4
5.800000E-9	6.252852E-4
5.850000E-9	5.344903E-4
