Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	3:55:48 PM
	
Time	Amplitude
0.000000E+0	-4.419824E-4
5.000000E-11	-6.338507E-4
1.000000E-10	-8.000224E-4
1.500000E-10	-9.113745E-4
2.000000E-10	-9.593416E-4
2.500000E-10	-9.387843E-4
3.000000E-10	-8.719730E-4
3.500000E-10	-7.794651E-4
4.000000E-10	-6.355638E-4
4.500000E-10	-4.676790E-4
5.000000E-10	-3.546138E-4
5.500000E-10	-3.049336E-4
6.000000E-10	-2.706714E-4
6.500000E-10	-2.329830E-4
7.000000E-10	-2.158519E-4
7.500000E-10	-2.449747E-4
8.000000E-10	-3.066467E-4
8.500000E-10	-3.768842E-4
9.000000E-10	-4.436955E-4
9.500000E-10	-5.139330E-4
1.000000E-9	-6.030147E-4
1.050000E-9	-7.075144E-4
1.100000E-9	-7.965962E-4
1.150000E-9	-8.753992E-4
1.200000E-9	-9.593416E-4
1.250000E-9	-1.039858E-3
1.300000E-9	-1.086112E-3
1.350000E-9	-1.092964E-3
1.400000E-9	-1.067268E-3
1.450000E-9	-1.007309E-3
1.500000E-9	-9.010959E-4
1.550000E-9	-7.143669E-4
1.600000E-9	-4.574004E-4
1.650000E-9	-2.158519E-4
1.700000E-9	-2.398354E-5
1.750000E-9	1.781634E-4
1.800000E-9	3.940153E-4
1.850000E-9	5.601870E-4
1.900000E-9	6.663998E-4
1.950000E-9	7.246455E-4
2.000000E-9	6.920964E-4
2.050000E-9	5.584739E-4
2.100000E-9	3.546138E-4
2.150000E-9	8.736861E-5
2.200000E-9	-2.107125E-4
2.250000E-9	-4.368431E-4
2.300000E-9	-5.875967E-4
2.350000E-9	-7.297849E-4
2.400000E-9	-8.291452E-4
2.450000E-9	-8.205797E-4
2.500000E-9	-7.623340E-4
2.550000E-9	-6.766785E-4
2.600000E-9	-5.327772E-4
2.650000E-9	-3.563269E-4
2.700000E-9	-1.952945E-4
2.750000E-9	-2.569665E-5
2.800000E-9	1.182046E-4
2.850000E-9	1.610323E-4
2.900000E-9	1.439012E-4
2.950000E-9	1.387619E-4
3.000000E-9	1.062128E-4
3.050000E-9	2.398354E-5
3.100000E-9	-6.852440E-5
3.150000E-9	-1.661717E-4
3.200000E-9	-2.723845E-4
3.250000E-9	-3.700318E-4
3.300000E-9	-4.728184E-4
3.350000E-9	-5.944492E-4
3.400000E-9	-7.126538E-4
3.450000E-9	-8.017355E-4
3.500000E-9	-8.668337E-4
3.550000E-9	-8.685468E-4
3.600000E-9	-8.068748E-4
3.650000E-9	-7.297849E-4
3.700000E-9	-6.269983E-4
3.750000E-9	-4.642528E-4
3.800000E-9	-2.980811E-4
3.850000E-9	-1.747372E-4
3.900000E-9	-7.023751E-5
3.950000E-9	5.481952E-5
4.000000E-9	1.404750E-4
4.050000E-9	1.610323E-4
4.100000E-9	1.301964E-4
4.150000E-9	7.023751E-5
4.200000E-9	-8.908172E-5
4.250000E-9	-3.032205E-4
4.300000E-9	-5.362034E-4
4.350000E-9	-7.571946E-4
4.400000E-9	-9.524892E-4
4.450000E-9	-1.080972E-3
4.500000E-9	-1.149497E-3
4.550000E-9	-1.149497E-3
4.600000E-9	-1.082686E-3
4.650000E-9	-1.005596E-3
4.700000E-9	-9.062352E-4
4.750000E-9	-7.434897E-4
4.800000E-9	-5.430559E-4
4.850000E-9	-3.426220E-4
4.900000E-9	-1.404750E-4
4.950000E-9	2.912287E-5
5.000000E-9	9.079483E-5
5.050000E-9	5.995885E-5
5.100000E-9	-1.541799E-5
5.150000E-9	-1.267701E-4
5.200000E-9	-2.586796E-4
5.250000E-9	-4.214251E-4
5.300000E-9	-6.269983E-4
5.350000E-9	-8.291452E-4
5.400000E-9	-9.713334E-4
5.450000E-9	-1.068981E-3
5.500000E-9	-1.132366E-3
5.550000E-9	-1.108382E-3
5.600000E-9	-1.014161E-3
5.650000E-9	-9.182270E-4
5.700000E-9	-8.462763E-4
