Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	6:48:41 PM
	
Time	Amplitude
0.000000E+0	-1.017587E-3
5.000000E-11	-1.002169E-3
1.000000E-10	-9.559154E-4
1.500000E-10	-9.250794E-4
2.000000E-10	-9.182270E-4
2.500000E-10	-9.216532E-4
3.000000E-10	-9.079483E-4
3.500000E-10	-8.805385E-4
4.000000E-10	-8.411370E-4
4.500000E-10	-7.708995E-4
5.000000E-10	-6.835309E-4
5.500000E-10	-6.081541E-4
6.000000E-10	-5.653263E-4
6.500000E-10	-5.481952E-4
7.000000E-10	-5.413428E-4
7.500000E-10	-5.070806E-4
8.000000E-10	-4.025809E-4
8.500000E-10	-2.552534E-4
9.000000E-10	-9.422105E-5
9.500000E-10	7.537684E-5
1.000000E-9	2.415485E-4
1.050000E-9	3.666055E-4
1.100000E-9	4.162857E-4
1.150000E-9	4.025809E-4
1.200000E-9	3.152122E-4
1.250000E-9	1.473275E-4
1.300000E-9	-6.509818E-5
1.350000E-9	-2.672452E-4
1.400000E-9	-4.745315E-4
1.450000E-9	-6.955227E-4
1.500000E-9	-8.771123E-4
1.550000E-9	-1.000456E-3
1.600000E-9	-1.089538E-3
1.650000E-9	-1.122087E-3
1.700000E-9	-1.079259E-3
1.750000E-9	-9.850383E-4
1.800000E-9	-8.788254E-4
1.850000E-9	-7.708995E-4
1.900000E-9	-6.852440E-4
1.950000E-9	-6.355638E-4
2.000000E-9	-5.961623E-4
2.050000E-9	-5.481952E-4
2.100000E-9	-4.950888E-4
2.150000E-9	-4.282775E-4
2.200000E-9	-3.391958E-4
2.250000E-9	-2.312699E-4
2.300000E-9	-1.113522E-4
2.350000E-9	2.740976E-5
2.400000E-9	1.695979E-4
2.450000E-9	2.501141E-4
2.500000E-9	2.466878E-4
2.550000E-9	1.524668E-4
2.600000E-9	6.852440E-6
2.650000E-9	-1.678848E-4
2.700000E-9	-3.700318E-4
2.750000E-9	-5.841705E-4
2.800000E-9	-7.726126E-4
2.850000E-9	-9.353581E-4
2.900000E-9	-1.074120E-3
2.950000E-9	-1.166628E-3
3.000000E-9	-1.221447E-3
3.050000E-9	-1.272841E-3
3.100000E-9	-1.331086E-3
3.150000E-9	-1.360209E-3
3.200000E-9	-1.336226E-3
3.250000E-9	-1.281406E-3
3.300000E-9	-1.230013E-3
3.350000E-9	-1.168341E-3
3.400000E-9	-1.082686E-3
3.450000E-9	-9.593416E-4
3.500000E-9	-8.103010E-4
3.550000E-9	-6.201458E-4
3.600000E-9	-4.008677E-4
3.650000E-9	-1.867290E-4
3.700000E-9	8.565550E-6
3.750000E-9	1.610323E-4
3.800000E-9	2.535403E-4
3.850000E-9	2.809500E-4
3.900000E-9	2.535403E-4
3.950000E-9	1.541799E-4
4.000000E-9	-6.852440E-6
4.050000E-9	-1.970077E-4
4.100000E-9	-3.905891E-4
4.150000E-9	-5.567608E-4
4.200000E-9	-6.869571E-4
4.250000E-9	-7.726126E-4
4.300000E-9	-7.948830E-4
4.350000E-9	-7.246455E-4
4.400000E-9	-5.516214E-4
4.450000E-9	-3.237778E-4
4.500000E-9	-9.422105E-5
4.550000E-9	1.096390E-4
4.600000E-9	2.706714E-4
4.650000E-9	3.717449E-4
4.700000E-9	4.197120E-4
4.750000E-9	4.025809E-4
4.800000E-9	3.083598E-4
4.850000E-9	1.473275E-4
4.900000E-9	-4.282775E-5
4.950000E-9	-2.415485E-4
5.000000E-9	-4.197120E-4
5.050000E-9	-5.447690E-4
5.100000E-9	-5.875967E-4
5.150000E-9	-5.687525E-4
5.200000E-9	-4.865232E-4
5.250000E-9	-3.340565E-4
5.300000E-9	-1.644586E-4
5.350000E-9	-3.768842E-5
5.400000E-9	1.884421E-5
5.450000E-9	1.884421E-5
5.500000E-9	-3.426220E-5
5.550000E-9	-1.524668E-4
5.600000E-9	-3.323433E-4
5.650000E-9	-5.499083E-4
5.700000E-9	-7.743257E-4
