Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	1:09:28 PM
	
Time	Amplitude
0.000000E+0	1.370488E-4
5.000000E-11	1.627455E-4
1.000000E-10	1.593192E-4
1.500000E-10	8.051617E-5
2.000000E-10	-3.597531E-5
2.500000E-10	-1.593192E-4
3.000000E-10	-2.826632E-4
3.500000E-10	-3.905891E-4
4.000000E-10	-4.813839E-4
4.500000E-10	-5.516214E-4
5.000000E-10	-5.961623E-4
5.500000E-10	-6.304245E-4
6.000000E-10	-6.304245E-4
6.500000E-10	-5.516214E-4
7.000000E-10	-4.060071E-4
7.500000E-10	-2.775238E-4
8.000000E-10	-1.815897E-4
8.500000E-10	-9.250794E-5
9.000000E-10	-5.139330E-6
9.500000E-10	4.454086E-5
1.000000E-9	5.653263E-5
1.050000E-9	5.481952E-5
1.100000E-9	2.912287E-5
1.150000E-9	-2.740976E-5
1.200000E-9	-1.044997E-4
1.250000E-9	-1.815897E-4
1.300000E-9	-2.621058E-4
1.350000E-9	-3.443351E-4
1.400000E-9	-3.940153E-4
1.450000E-9	-4.025809E-4
1.500000E-9	-4.042940E-4
1.550000E-9	-4.282775E-4
1.600000E-9	-4.436955E-4
1.650000E-9	-4.077202E-4
1.700000E-9	-3.546138E-4
1.750000E-9	-3.237778E-4
1.800000E-9	-2.860894E-4
1.850000E-9	-2.192781E-4
1.900000E-9	-1.576061E-4
1.950000E-9	-1.216308E-4
2.000000E-9	-8.051617E-5
2.050000E-9	-4.454086E-5
2.100000E-9	-7.195062E-5
2.150000E-9	-1.764503E-4
2.200000E-9	-3.066467E-4
2.250000E-9	-4.385562E-4
2.300000E-9	-5.910230E-4
2.350000E-9	-7.589077E-4
2.400000E-9	-8.856779E-4
2.450000E-9	-9.319318E-4
2.500000E-9	-9.233663E-4
2.550000E-9	-9.045221E-4
2.600000E-9	-8.428501E-4
2.650000E-9	-7.126538E-4
2.700000E-9	-5.601870E-4
2.750000E-9	-4.351299E-4
2.800000E-9	-3.203516E-4
2.850000E-9	-1.935814E-4
2.900000E-9	-9.593416E-5
2.950000E-9	-6.167196E-5
3.000000E-9	-6.509818E-5
3.050000E-9	-7.708995E-5
3.100000E-9	-9.593416E-5
3.150000E-9	-1.456144E-4
3.200000E-9	-1.833028E-4
3.250000E-9	-1.713110E-4
3.300000E-9	-1.113522E-4
3.350000E-9	-4.111464E-5
3.400000E-9	3.426220E-5
3.450000E-9	1.164915E-4
3.500000E-9	1.867290E-4
3.550000E-9	2.312699E-4
3.600000E-9	2.466878E-4
3.650000E-9	2.449747E-4
3.700000E-9	2.158519E-4
3.750000E-9	1.627455E-4
3.800000E-9	9.764727E-5
3.850000E-9	3.768842E-5
3.900000E-9	0.000000E+0
3.950000E-9	-6.852440E-6
4.000000E-9	-1.027866E-5
4.050000E-9	-8.565550E-6
4.100000E-9	2.055732E-5
4.150000E-9	8.394239E-5
4.200000E-9	1.541799E-4
4.250000E-9	2.227043E-4
4.300000E-9	3.117860E-4
4.350000E-9	4.111464E-4
4.400000E-9	4.830970E-4
4.450000E-9	5.327772E-4
4.500000E-9	5.893098E-4
4.550000E-9	6.355638E-4
4.600000E-9	6.389900E-4
4.650000E-9	5.807443E-4
4.700000E-9	4.916626E-4
4.750000E-9	4.060071E-4
4.800000E-9	3.443351E-4
4.850000E-9	2.843763E-4
4.900000E-9	2.124256E-4
4.950000E-9	1.301964E-4
5.000000E-9	5.139330E-5
5.050000E-9	-1.027866E-5
5.100000E-9	-3.083598E-5
5.150000E-9	-8.565550E-6
5.200000E-9	3.597531E-5
5.250000E-9	9.764727E-5
5.300000E-9	1.661717E-4
5.350000E-9	2.261305E-4
5.400000E-9	2.997943E-4
5.450000E-9	3.957284E-4
5.500000E-9	4.711053E-4
5.550000E-9	4.830970E-4
5.600000E-9	4.282775E-4
5.650000E-9	2.963680E-4
5.700000E-9	7.195062E-5
5.750000E-9	-2.089994E-4
