Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	1:05:51 PM
	
Time	Amplitude
0.000000E+0	8.171535E-4
5.000000E-11	7.349242E-4
1.000000E-10	6.304245E-4
1.500000E-10	4.899495E-4
2.000000E-10	3.409089E-4
2.500000E-10	2.295567E-4
3.000000E-10	1.336226E-4
3.500000E-10	-6.852440E-6
4.000000E-10	-1.541799E-4
4.500000E-10	-2.124256E-4
5.000000E-10	-1.884421E-4
5.500000E-10	-1.456144E-4
6.000000E-10	-9.079483E-5
6.500000E-10	-3.940153E-5
7.000000E-10	-1.541799E-5
7.500000E-10	0.000000E+0
8.000000E-10	8.565550E-6
8.500000E-10	-2.055732E-5
9.000000E-10	-6.509818E-5
9.500000E-10	-8.222928E-5
1.000000E-9	-1.027866E-4
1.050000E-9	-1.747372E-4
1.100000E-9	-2.432616E-4
1.150000E-9	-2.809500E-4
1.200000E-9	-3.169254E-4
1.250000E-9	-3.460482E-4
1.300000E-9	-3.374827E-4
1.350000E-9	-3.323433E-4
1.400000E-9	-3.648924E-4
1.450000E-9	-3.974415E-4
1.500000E-9	-3.785973E-4
1.550000E-9	-3.409089E-4
1.600000E-9	-3.289171E-4
1.650000E-9	-3.066467E-4
1.700000E-9	-2.141388E-4
1.750000E-9	-8.394239E-5
1.800000E-9	2.398354E-5
1.850000E-9	1.267701E-4
1.900000E-9	2.740976E-4
1.950000E-9	4.231382E-4
2.000000E-9	5.087937E-4
2.050000E-9	5.447690E-4
2.100000E-9	5.687525E-4
2.150000E-9	5.738919E-4
2.200000E-9	5.430559E-4
2.250000E-9	5.036543E-4
2.300000E-9	4.813839E-4
2.350000E-9	4.745315E-4
2.400000E-9	4.796708E-4
2.450000E-9	5.122199E-4
2.500000E-9	5.619001E-4
2.550000E-9	6.115803E-4
2.600000E-9	6.732522E-4
2.650000E-9	7.349242E-4
2.700000E-9	7.195062E-4
2.750000E-9	6.047278E-4
2.800000E-9	4.539742E-4
2.850000E-9	2.929418E-4
2.900000E-9	8.394239E-5
2.950000E-9	-1.644586E-4
3.000000E-9	-3.803104E-4
3.050000E-9	-5.619001E-4
3.100000E-9	-7.006620E-4
3.150000E-9	-7.726126E-4
3.200000E-9	-7.846044E-4
3.250000E-9	-7.657602E-4
3.300000E-9	-6.938096E-4
3.350000E-9	-5.773181E-4
3.400000E-9	-5.002281E-4
3.450000E-9	-5.070806E-4
3.500000E-9	-5.499083E-4
3.550000E-9	-6.235720E-4
3.600000E-9	-7.691864E-4
3.650000E-9	-9.661940E-4
3.700000E-9	-1.158062E-3
3.750000E-9	-1.305390E-3
3.800000E-9	-1.391045E-3
3.850000E-9	-1.409890E-3
3.900000E-9	-1.375627E-3
3.950000E-9	-1.289972E-3
4.000000E-9	-1.147784E-3
4.050000E-9	-9.936038E-4
4.100000E-9	-8.428501E-4
4.150000E-9	-6.663998E-4
4.200000E-9	-4.950888E-4
4.250000E-9	-3.854498E-4
4.300000E-9	-3.374827E-4
4.350000E-9	-3.152122E-4
4.400000E-9	-3.289171E-4
4.450000E-9	-3.837366E-4
4.500000E-9	-4.317037E-4
4.550000E-9	-4.728184E-4
4.600000E-9	-4.985150E-4
4.650000E-9	-4.950888E-4
4.700000E-9	-4.711053E-4
4.750000E-9	-4.556873E-4
4.800000E-9	-4.317037E-4
4.850000E-9	-3.940153E-4
4.900000E-9	-3.511876E-4
4.950000E-9	-3.203516E-4
5.000000E-9	-3.152122E-4
5.050000E-9	-3.666055E-4
5.100000E-9	-4.882364E-4
5.150000E-9	-6.389900E-4
5.200000E-9	-8.051617E-4
5.250000E-9	-9.713334E-4
5.300000E-9	-1.125513E-3
5.350000E-9	-1.288259E-3
5.400000E-9	-1.442439E-3
5.450000E-9	-1.534947E-3
5.500000E-9	-1.548651E-3
5.550000E-9	-1.486979E-3
5.600000E-9	-1.320808E-3
5.650000E-9	-1.041571E-3
5.700000E-9	-6.920964E-4
