Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	12:36:55 PM
	
Time	Amplitude
0.000000E+0	-8.565550E-6
5.000000E-11	5.653263E-5
1.000000E-10	1.250570E-4
1.500000E-10	2.227043E-4
2.000000E-10	3.460482E-4
2.500000E-10	4.728184E-4
3.000000E-10	6.047278E-4
3.500000E-10	7.280718E-4
4.000000E-10	8.359977E-4
4.500000E-10	9.422105E-4
5.000000E-10	1.022727E-3
5.500000E-10	1.036432E-3
6.000000E-10	1.015874E-3
6.500000E-10	1.007309E-3
7.000000E-10	9.798989E-4
7.500000E-10	9.199401E-4
8.000000E-10	8.685468E-4
8.500000E-10	8.342846E-4
9.000000E-10	7.948830E-4
9.500000E-10	7.537684E-4
1.000000E-9	7.092275E-4
1.050000E-9	6.424163E-4
1.100000E-9	5.824574E-4
1.150000E-9	5.481952E-4
1.200000E-9	4.933757E-4
1.250000E-9	3.940153E-4
1.300000E-9	3.152122E-4
1.350000E-9	2.689583E-4
1.400000E-9	2.124256E-4
1.450000E-9	1.456144E-4
1.500000E-9	1.164915E-4
1.550000E-9	1.010735E-4
1.600000E-9	7.537684E-5
1.650000E-9	6.338507E-5
1.700000E-9	7.023751E-5
1.750000E-9	3.940153E-5
1.800000E-9	-3.768842E-5
1.850000E-9	-1.250570E-4
1.900000E-9	-2.398354E-4
1.950000E-9	-4.094333E-4
2.000000E-9	-5.910230E-4
2.050000E-9	-7.537684E-4
2.100000E-9	-9.404974E-4
2.150000E-9	-1.108382E-3
2.200000E-9	-1.166628E-3
2.250000E-9	-1.125513E-3
2.300000E-9	-1.055276E-3
2.350000E-9	-9.267925E-4
2.400000E-9	-6.955227E-4
2.450000E-9	-4.214251E-4
2.500000E-9	-1.661717E-4
2.550000E-9	6.852440E-5
2.600000E-9	2.518272E-4
2.650000E-9	3.272040E-4
2.700000E-9	3.220647E-4
2.750000E-9	2.552534E-4
2.800000E-9	1.164915E-4
2.850000E-9	-9.250794E-5
2.900000E-9	-2.929418E-4
2.950000E-9	-4.522610E-4
3.000000E-9	-5.927361E-4
3.050000E-9	-6.835309E-4
3.100000E-9	-6.886702E-4
3.150000E-9	-6.321376E-4
3.200000E-9	-5.293510E-4
3.250000E-9	-3.683187E-4
3.300000E-9	-1.850159E-4
3.350000E-9	1.713110E-6
3.400000E-9	2.004339E-4
3.450000E-9	3.905891E-4
3.500000E-9	5.396297E-4
3.550000E-9	6.475556E-4
3.600000E-9	7.229324E-4
3.650000E-9	7.880306E-4
3.700000E-9	8.565550E-4
3.750000E-9	9.062352E-4
3.800000E-9	8.976696E-4
3.850000E-9	8.514157E-4
3.900000E-9	7.983093E-4
3.950000E-9	6.835309E-4
4.000000E-9	4.950888E-4
4.050000E-9	2.980811E-4
4.100000E-9	1.044997E-4
4.150000E-9	-1.044997E-4
4.200000E-9	-3.169254E-4
4.250000E-9	-4.985150E-4
4.300000E-9	-6.132934E-4
4.350000E-9	-6.561211E-4
4.400000E-9	-6.732522E-4
4.450000E-9	-7.212193E-4
4.500000E-9	-7.571946E-4
4.550000E-9	-7.212193E-4
4.600000E-9	-6.595474E-4
4.650000E-9	-6.201458E-4
4.700000E-9	-5.773181E-4
4.750000E-9	-5.036543E-4
4.800000E-9	-4.008677E-4
4.850000E-9	-3.117860E-4
4.900000E-9	-2.963680E-4
4.950000E-9	-3.391958E-4
5.000000E-9	-3.323433E-4
5.050000E-9	-2.621058E-4
5.100000E-9	-2.175650E-4
5.150000E-9	-2.055732E-4
5.200000E-9	-1.695979E-4
5.250000E-9	-1.233439E-4
5.300000E-9	-1.010735E-4
5.350000E-9	-7.195062E-5
5.400000E-9	5.139330E-6
5.450000E-9	1.079259E-4
5.500000E-9	2.192781E-4
5.550000E-9	3.443351E-4
5.600000E-9	4.848101E-4
5.650000E-9	6.098672E-4
5.700000E-9	7.126538E-4
5.750000E-9	7.828913E-4
5.800000E-9	8.137273E-4
